Company Number;Contact Id;Contact Person Number;Contact Type;Date Id;Direction;Fifteen Min Bucket;Finished At;Inside Service Level;Interaction Id;Phone Display Name;Ring Groups;Started At;Thirty Min Bucket;Transfer In;Transfer In Type;Transfer Out;Transfer Out Type;User Id;User Name;Answered At;Callback;Abandon Time;After Call Work Time;Duration;Handle Time;Hard Hold Time;Hold Time;Ring Time;Short Abandon Time;Talk Time;Wait Time;;;
3,91E+12;022cb06e449844a5a1b0b4e1c75a2b0d;3,93E+11;Answered;20240119;IN;09:15-09:30;1/19/2024 9:28:31 AM;Yes;f1d8fd8b33e1417096708d28be44dd1b;Italy - DeLonghi - EC;delonghi_br;1/19/2024 9:27:20 AM;09:00-09:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;1/19/2024 9:27:25 AM;No;;10;70;64;;;2;;54;4;;;
3,91E+12;02412afb20d04ec88a62a1ea103a6904;3,93E+11;Answered;20240220;IN;13:45-14:00;2/20/2024 2:03:03 PM;Yes;7f8f31a8986646f587d471f45e780391;Italy - DeLonghi - EC;delonghi_dl;2/20/2024 1:59:32 PM;13:30-14:00;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;2/20/2024 1:59:49 PM;No;;10;210;193;;;14;;183;16;;;
3,91E+12;02683f9411a8457990d3931463d1001f;3,93E+11;Abandoned;20240116;IN;11:45-12:00;1/16/2024 12:03:39 PM;No;03700721877e489ab72fe619aada0b7c;Italy - DeLonghi - EC;delonghi_dl;1/16/2024 11:59:26 AM;11:30-12:00;No;;No;;; ;;No;253;;253;;;;;;;253;;;
3,91E+12;02c742c18bd64a1fbcd74d51b01ac8db;3,93E+11;Abandoned;20240223;IN;16:30-16:45;2/23/2024 4:43:35 PM;No;4ba1ce23512b4669a0056d1f07c1adb9;Italy - DeLonghi - EC;delonghi_dl;2/23/2024 4:37:13 PM;16:30-17:00;No;;No;;; ;;No;381;;381;;;;;;;381;;;
3,91E+12;0427a6da577d4949a42f3d648f67bc26;3,93E+11;Answered;20240226;IN;14:30-14:45;2/26/2024 2:38:22 PM;Yes;0de354bf98ee4c6baf4986b5ca1942e2;Italy - DeLonghi - EC;delonghi_dl;2/26/2024 2:34:01 PM;14:30-15:00;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;2/26/2024 2:34:14 PM;No;;10;260;247;;;10;;237;12;;;
3,91E+12;045fa0f5855a4b0b853a27c994278079;3,94E+11;Answered;20240109;IN;13:45-14:00;01/09/2024 14:00;Yes;b48486dff1994ec7aca1abd351ecd969;Italy - DeLonghi - EC;delonghi_dl;01/09/2024 13:57;13:30-14:00;No;;No;;6436e4426cee473a5f29c459;Laura xxxxxxxxx;01/09/2024 13:57;No;;1;196;189;;;4;;188;6;;;
3,91E+12;047e552a7af443b4bc9f602862ab74be;3,93E+11;Answered;20240108;IN;11:15-11:30;01/08/2024 11:28;No;7230f439fadf48a095149da4f7c448f7;Italy - DeLonghi - EC;delonghi_br;01/08/2024 11:21;11:00-11:30;No;;No;;6436e43d49b1301c7f1222cc;Jenny xxxxxxxxx;01/08/2024 11:24;No;;10;457;286;;;8;;276;170;;;
3,91E+12;04897870364745e8826a1822486337b1;3,93E+11;Abandoned;20240223;IN;17:30-17:45;2/23/2024 5:43:14 PM;No;34e0f24740dd485d85960aa4fd03b927;Italy - DeLonghi - EC;delonghi_dl;2/23/2024 5:42:47 PM;17:30-18:00;No;;No;;; ;;No;27;;27;;;;;;;27;;;
3,91E+12;04930fa31563417c93609d3e78da0ea4;3,93E+11;Answered;20240123;IN;11:15-11:30;1/23/2024 11:19:44 AM;Yes;8b09c5c6997543dc88ac40762e567692;Italy - DeLonghi - EC;delonghi_dl;1/23/2024 11:15:49 AM;11:00-11:30;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;1/23/2024 11:16:10 AM;No;;10;234;212;;;19;;202;21;;;
3,91E+12;04b8201f38c14624bc28dc0390b6952f;3,93E+11;Answered;20240207;IN;08:15-08:30;02/07/2024 08:30;Yes;2cd5622157e7497d8c33aef5ac175172;Italy - DeLonghi - EC;delonghi_dl;02/07/2024 08:27;08:00-08:30;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;02/07/2024 08:28;No;;10;175;145;;;28;;135;30;;;
3,91E+12;0556c92d993e42ad9190fd8678f42d6a;3,93E+11;Answered;20240227;IN;10:30-10:45;2/27/2024 10:44:55 AM;No;06d99ed71b7d4e8eaa6b4a3c52cc133c;Italy - DeLonghi - EC;delonghi_dl;2/27/2024 10:37:32 AM;10:30-11:00;No;;No;;65489e58d13482535c7be929;Ivana xxxxxxxxxxx;2/27/2024 10:40:16 AM;No;;10;443;277;;;7;;267;164;;;
3,91E+12;055a96ed6c5a453494026ea23d178b75;3,93E+11;Answered;20240227;IN;15:15-15:30;2/27/2024 3:17:46 PM;Yes;a1db5e0798b24c29b5937fd0b089f905;Italy - DeLonghi - EC;delonghi_dl;2/27/2024 3:16:02 PM;15:00-15:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/27/2024 3:16:07 PM;No;;10;103;97;;;2;;87;4;;;
3,91E+12;05a3681111a54b85b8155a61c2e0a798;3,93E+11;Answered;20240311;IN;16:30-16:45;03/11/2024 16:39;Yes;ca44139d85034e6a88bf1d20191e3e25;Italy - DeLonghi - EC;delonghi_dl;03/11/2024 16:37;16:30-17:00;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;03/11/2024 16:37;No;;10;95;88;;;3;;78;6;;;
3,91E+12;05eb344f50f44db3b17033a4fb2ec982;3,94E+11;Abandoned;20240313;IN;18:30-18:45;3/13/2024 6:46:23 PM;No;21fb79279e9f417386a254366318fbc5;Italy - DeLonghi - EC;delonghi_dl;3/13/2024 6:33:35 PM;18:30-19:00;No;;No;;; ;;No;768;;768;;;;;;;768;;;
3,91E+12;05f2091e483f4762bbdaffbc21d7d3f9;3,91E+11;Answered;20240129;IN;13:15-13:30;1/29/2024 1:26:53 PM;Yes;518ab76adab94c22a1e21ad955386bc1;Italy - DeLonghi - EC;delonghi_br;1/29/2024 1:25:00 PM;13:00-13:30;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;1/29/2024 1:25:09 PM;No;;10;113;103;;;7;;93;9;;;
3,91E+12;05f73e0effd7441294609b35bad075a0;3,93E+11;Answered;20240216;IN;13:30-13:45;2/16/2024 1:45:48 PM;Yes;c0519d49242f4dd0afa8175824a42adb;Italy - DeLonghi - EC;delonghi_dl;2/16/2024 1:44:39 PM;13:30-14:00;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/16/2024 1:44:47 PM;No;;10;69;59;;;6;;49;8;;;
3,91E+12;061765213ccc4565bf62d0777d761716;3,93E+11;Abandoned;20240124;IN;17:15-17:30;1/24/2024 5:23:53 PM;No;ca04ca0f6b0b4cac8974ced76d07ef52;Italy - DeLonghi - EC;delonghi_dl;1/24/2024 5:23:13 PM;17:00-17:30;No;;No;;; ;;No;40;;40;;;;;;;40;;;
3,91E+12;0641bfa155ce4736840b5968b3a971e5;3,93E+11;Abandoned;20240115;IN;10:30-10:45;1/15/2024 10:53:20 AM;No;c148850fe67e416ca714446cc5e2fa8e;Italy - DeLonghi - EC;delonghi_dl;1/15/2024 10:43:40 AM;10:30-11:00;No;;No;;; ;;No;580;;580;;;;;;;580;;;
3,91E+12;064b6b9f913a4adbaa7f7f067f253d0e;3,93E+11;Answered;20240313;IN;16:30-16:45;3/13/2024 4:39:17 PM;Yes;e9eb97a204dd4af1af25390ade1216fa;Italy - DeLonghi - EC;delonghi_br;3/13/2024 4:37:13 PM;16:30-17:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;3/13/2024 4:37:20 PM;No;;10;123;116;;;4;;106;6;;;
3,91E+12;06b024e15e4d4ae7b04b36a4eab36674;3,93E+11;Answered;20240227;IN;16:00-16:15;2/27/2024 4:13:37 PM;Yes;4dd0fd22f3964a5c9944976d65d25180;Italy - DeLonghi - EC;delonghi_dl;2/27/2024 4:11:11 PM;16:00-16:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/27/2024 4:11:17 PM;No;;10;145;138;;;3;;128;6;;;
3,91E+12;07633eaa538c40ecb38d73fad7f7f8b7;3,93E+11;Answered;20240223;IN;08:00-08:15;2/23/2024 8:16:03 AM;Yes;361c9e083d5840159d9a4c5648198b79;Italy - DeLonghi - EC;delonghi_dl;2/23/2024 8:12:26 AM;08:00-08:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/23/2024 8:12:34 AM;No;;10;216;207;;;5;;197;8;;;
3,91E+12;0829d5a2541e45a4b2ca5617863a2fbe;3,93E+11;Answered;20240307;IN;14:15-14:30;03/07/2024 14:21;Yes;7b0910c424534adbb7fa534d4ff6fe0a;Italy - DeLonghi - EC;delonghi_dl;03/07/2024 14:17;14:00-14:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;03/07/2024 14:17;No;;10;232;226;;;2;;216;4;;;
3,91E+12;084339e59cde4dcbbc758fc9a255419a;3,93E+11;Answered;20240124;IN;10:45-11:00;1/24/2024 10:59:19 AM;Yes;fa1a3f17d7a641ebb685ae5144933054;Italy - DeLonghi - EC;delonghi_dl;1/24/2024 10:57:43 AM;10:30-11:00;No;;No;;6436e44149b1301c7f1222cf;Eliana xxxxxxx;1/24/2024 10:57:56 AM;No;;10;95;82;;;10;;72;12;;;
3,91E+12;0874fcd65dec468cbaa7f6378198e0fc;3,93E+11;Answered;20240203;IN;11:00-11:15;02/03/2024 11:06;Yes;a98744cbbfe54b05b600f58b1500a279;Italy - DeLonghi - EC;delonghi_dl;02/03/2024 11:04;11:00-11:30;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;02/03/2024 11:04;No;;10;113;100;;;2;;90;13;;;
3,91E+12;088f7671852544888bb94680f7e2368a;3,93E+11;Answered;20240308;IN;10:15-10:30;03/08/2024 10:35;Yes;0a3b0c071276485c880180b71534050f;Italy - DeLonghi - EC;delonghi_dl;03/08/2024 10:26;10:00-10:30;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;03/08/2024 10:26;No;;3;563;557;267;267;3;;287;5;;;
3,91E+12;08bcab169c804bd9b71986e78e65a137;3,93E+11;Answered;20240209;IN;16:15-16:30;02/09/2024 16:34;No;3ace7811c1924c5da55414248e2ee81d;Italy - DeLonghi - EC;delonghi_dl;02/09/2024 16:27;16:00-16:30;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;02/09/2024 16:30;No;;3;402;272;;;14;;269;129;;;
3,91E+12;08bd4484b1ce46be9ae4f3196361ef1a;3,93E+11;Answered;20240125;IN;13:00-13:15;1/25/2024 1:05:04 PM;Yes;fc0c0e7d7f384dc381cfccac6d4c79b9;Italy - DeLonghi - EC;delonghi_dl;1/25/2024 1:01:13 PM;13:00-13:30;No;;No;;6436e4426cee473a5f29c459;Laura xxxxxxxxx;1/25/2024 1:01:24 PM;No;;10;230;218;;;9;;208;11;;;
3,91E+12;094387a18aea4f6086c2b8bab33323ef;3,93E+11;Answered;20240304;IN;13:00-13:15;03/04/2024 13:07;Yes;056ab663058e4143b4e5c8ed84a0e283;Italy - DeLonghi - EC;delonghi_dl;03/04/2024 13:02;13:00-13:30;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;03/04/2024 13:02;No;;10;265;258;;;4;;248;6;;;
3,91E+12;097817298e1a479db71455ad22eb5cef;3,93E+11;Answered;20240306;IN;10:00-10:15;03/06/2024 10:21;Yes;f746ed1a96594c0386ad81b3a2ae32a3;Italy - DeLonghi - EC;delonghi_dl;03/06/2024 10:14;10:00-10:30;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;03/06/2024 10:14;No;;2;435;426;;;6;;424;8;;;
3,91E+12;098474834cc04b259179937d7b767343;3,93E+11;Answered;20240219;IN;12:45-13:00;2/19/2024 1:00:52 PM;Yes;22b85fd453c34783b703f3471f689e50;Italy - DeLonghi - EC;delonghi_dl;2/19/2024 12:55:56 PM;12:30-13:00;No;;No;;6436e43f49b1301c7f1222ce;Carmen xxxxxxxxxxx;2/19/2024 12:56:11 PM;No;;10;295;279;;;13;;269;15;;;
3,91E+12;09bb3f7f1cbd41f18cd3fac60f866e78;3,91E+11;Answered;20240208;IN;12:00-12:15;02/08/2024 12:01;Yes;a079a61370d94956aae8aea3438df0d2;Italy - DeLonghi - EC;delonghi_dl;02/08/2024 12:00;12:00-12:30;No;;No;;6436e43f49b1301c7f1222ce;Carmen xxxxxxxxxxx;02/08/2024 12:00;No;;10;57;50;;;5;;40;7;;;
3,91E+12;09e6eecd4e534c278fc67f0ed68309d9;3,93E+11;Answered;20240124;IN;11:00-11:15;1/24/2024 11:11:38 AM;Yes;1f361981929942c6bb27a02ef2231d4e;Italy - DeLonghi - EC;delonghi_dl;1/24/2024 11:09:27 AM;11:00-11:30;No;;No;;6436e44149b1301c7f1222cf;Eliana xxxxxxx;1/24/2024 11:09:42 AM;No;;10;130;114;;;13;;104;15;;;
3,91E+12;0a28efdbc0444c1791269adbc2a3d2e6;3,94E+11;Answered;20240117;IN;18:15-18:30;1/17/2024 6:22:28 PM;Yes;6f875d01b47c46518690594d383551ac;Italy - DeLonghi - EC;delonghi_dl;1/17/2024 6:21:50 PM;18:00-18:30;No;;No;;6436e43d49b1301c7f1222cd;Simona xxxxxx;1/17/2024 6:22:00 PM;No;;3;38;28;;;3;;25;9;;;
3,91E+12;0a3153aecea54bd390d1755cced2e09e;3,91E+11;Answered;20240314;IN;14:30-14:45;3/14/2024 2:40:23 PM;Yes;d6cbf45f3de84c6988c2fb811f1d18a1;Italy - DeLonghi - EC;delonghi_dl;3/14/2024 2:40:01 PM;14:30-15:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;3/14/2024 2:40:10 PM;No;;10;21;12;;;6;;2;9;;;
3,91E+12;0a6348888547492aa500a2cc76a12a18;3,93E+11;Answered;20240110;IN;14:45-15:00;01/10/2024 15:00;No;d70e040dd9d6400bbf7eea56b4908848;Italy - DeLonghi - EC;delonghi_dl;01/10/2024 14:58;14:30-15:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;01/10/2024 15:00;No;;2;159;5;;;5;;3;152;;;
3,91E+12;0ab5158250754666806f5ef7ef536933;39097283487;Answered;20240314;IN;13:00-13:15;3/14/2024 1:17:28 PM;Yes;faaa2cdc92b945edb5c750fd85426649;Italy - DeLonghi - EC;delonghi_dl;3/14/2024 1:14:16 PM;13:00-13:30;No;;No;;6436e4426cee473a5f29c459;Laura xxxxxxxxx;3/14/2024 1:14:26 PM;No;;10;192;180;;;8;;170;10;;;
3,91E+12;0b4d82ccd02a4ad6b33327e09422b2b4;3,93E+11;Answered;20240226;IN;13:00-13:15;2/26/2024 1:10:56 PM;Yes;756bdcb579fb47e5bc7b302d28d4c398;Italy - DeLonghi - EC;delonghi_dl;2/26/2024 1:09:11 PM;13:00-13:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/26/2024 1:09:17 PM;No;;10;104;97;;;3;;87;5;;;
3,91E+12;0b54436e9ed14358a6d4d40a87b58ffa;3,93E+11;Answered;20240209;IN;15:15-15:30;02/09/2024 15:31;Yes;f4f7f558fa6c40b9ad4b61714ad3a82e;Italy - DeLonghi - EC;delonghi_dl;02/09/2024 15:25;15:00-15:30;No;;No;;6436e43f49b1301c7f1222ce;Carmen xxxxxxxxxxx;02/09/2024 15:25;No;;10;319;310;;;6;;300;8;;;
3,91E+12;0b957303e00d499ea2192aec64cc1861;3,93E+11;Answered;20240220;IN;09:45-10:00;2/20/2024 9:58:00 AM;Yes;6eb938ab6a3f4d2fa4b677d5c92c3864;Italy - DeLonghi - EC;delonghi_dl;2/20/2024 9:53:03 AM;09:30-10:00;No;;No;;65489e58d13482535c7be929;Ivana xxxxxxxxxxx;2/20/2024 9:53:10 AM;No;;10;296;288;;;4;;278;6;;;
3,91E+12;0c1aeed023cb4e188a43425282f5d08c;3,93E+11;Answered;20240122;IN;13:30-13:45;1/22/2024 1:38:24 PM;Yes;1572c1c71fb34912a59a646cadd89187;Italy - DeLonghi - EC;delonghi_dl;1/22/2024 1:35:14 PM;13:30-14:00;No;;No;;6436e4426cee473a5f29c459;Laura xxxxxxxxx;1/22/2024 1:35:23 PM;No;;11;189;180;;;6;;169;8;;;
3,91E+12;0c612e3a5c54496e806fcb7ca67503fc;3,93E+11;Answered;20240221;IN;14:15-14:30;2/21/2024 2:48:02 PM;No;cf9a2df654e34e1680a5d52ae3c2949e;Italy - DeLonghi - EC;delonghi_dl;2/21/2024 2:19:54 PM;14:00-14:30;No;;No;;65489e58d13482535c7be929;Ivana xxxxxxxxxxx;2/21/2024 2:24:36 PM;No;;10;1687;1405;;;2;;1395;282;;;
3,91E+12;0c6b75299dda473a88ef7764e5f7489d;3,93E+11;Answered;20240127;IN;12:15-12:30;1/27/2024 12:22:05 PM;Yes;163885f4c0ba42faa74eeb42575fbab8;Italy - DeLonghi - EC;delonghi_dl;1/27/2024 12:18:21 PM;12:00-12:30;No;;No;;6436e43d49b1301c7f1222cc;Jenny xxxxxxxxx;1/27/2024 12:18:26 PM;No;;10;223;218;;;3;;208;5;;;
3,91E+12;0cbbae0579254c50a0813d3ba7e8d61b;3,93E+11;Answered;20240207;IN;15:45-16:00;02/07/2024 16:02;No;d8cbf3df11cc4908b6d16cbc7a28a576;Italy - DeLonghi - EC;delonghi_dl;02/07/2024 15:55;15:30-16:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;02/07/2024 15:59;No;;10;381;173;;;4;;163;207;;;
3,91E+12;0cdca0ce6eb84e81b338979b91023316;3,94E+11;Answered;20240119;IN;17:30-17:45;1/19/2024 5:42:31 PM;Yes;4971837663fa4947ba4410bd64706ebf;Italy - DeLonghi - EC;delonghi_dl;1/19/2024 5:38:33 PM;17:30-18:00;No;;No;;6436e44149b1301c7f1222cf;Eliana xxxxxxx;1/19/2024 5:38:43 PM;No;;10;237;226;;;8;;216;10;;;
3,91E+12;0d0b5130cad8423b80cf0e9d228c6f23;3,93E+11;Answered;20240217;IN;10:30-10:45;2/17/2024 10:48:38 AM;Yes;e0234efc5b74440184a31bfe4d6c5a83;Italy - DeLonghi - EC;delonghi_dl;2/17/2024 10:44:49 AM;10:30-11:00;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/17/2024 10:44:57 AM;No;;1;229;220;;;6;;219;8;;;
3,91E+12;0d4cdecd91ed41c7a6eb92fdd3af1722;3,93E+11;Answered;20240212;IN;09:45-10:00;02/12/2024 09:51;Yes;d402b92d77394758b74c42523476df5d;Italy - DeLonghi - EC;delonghi_dl;02/12/2024 09:45;09:30-10:00;No;;No;;65489e58d13482535c7be929;Ivana xxxxxxxxxxx;02/12/2024 09:46;No;;1;342;336;;;3;;335;5;;;
3,91E+12;0d6bc8bea4c5484281c8dd508829b644;3,91E+11;Answered;20240228;IN;14:15-14:30;2/28/2024 2:19:14 PM;Yes;55e739016c2245d7ae24204e030c15c9;Italy - DeLonghi - EC;delonghi_dl;2/28/2024 2:16:59 PM;14:00-14:30;No;;No;;6436e43eb87ce000a1beb74a;Sara xxxxxxxxx;2/28/2024 2:17:04 PM;No;;10;134;128;;;2;;118;5;;;
3,91E+12;0dd07c2abaf948f7aa750c59bb9e547e;3,93E+11;Answered;20240308;IN;18:30-18:45;03/08/2024 18:45;No;5bdc789f1c204f578815cb6c01377679;Italy - DeLonghi - EC;delonghi_dl;03/08/2024 18:37;18:30-19:00;No;;No;;6436e440b87ce000a1beb74b;Laura xxxxxxx;03/08/2024 18:40;No;;10;477;305;;;3;;295;171;;;
3,91E+12;0e4166d6fb9b4d6182c04dc33762cfc4;3,93E+11;Answered;20240109;IN;11:00-11:15;01/09/2024 11:05;Yes;ea96bbb84b07458ebc991141564e15cb;Italy - DeLonghi - EC;delonghi_dl;01/09/2024 11:02;11:00-11:30;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;01/09/2024 11:03;No;;10;131;111;;;17;;101;19;;;
3,91E+12;0e465648e5ee49a4b027dabd1e48dced;3,91E+11;Answered;20240315;IN;10:00-10:15;3/15/2024 10:26:52 AM;Yes;50efe17e448643278c478b6715ab5491;Italy - DeLonghi - EC;delonghi_dl;3/15/2024 10:10:07 AM;10:00-10:30;No;;No;;6436e441b87ce000a1beb74c;Antonina xxxxxxx;3/15/2024 10:10:12 AM;No;;10;1004;998;318;318;3;;670;5;;;
3,91E+12;0e497a4f52ba40788776c2a8e00a2ec5;3,94E+11;Answered;20240118;IN;16:45-17:00;1/18/2024 4:53:12 PM;Yes;877d9c0064694bc897271b1ce69d7401;Italy - DeLonghi - EC;delonghi_dl;1/18/2024 4:45:09 PM;16:30-17:00;No;;No;;6436e441b87ce000a1beb74c;Antonina xxxxxxx;1/18/2024 4:45:14 PM;No;;10;483;477;;;3;;467;5;;;
3,91E+12;0e6f7faf6cd54cff847f61f7d0d8ff73;3,93E+11;Answered;20240304;IN;15:45-16:00;03/04/2024 16:31;No;e1f8a4735a9445819561290ebfea8770;Italy - DeLonghi - EC;delonghi_dl;03/04/2024 15:47;15:30-16:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;03/04/2024 16:18;No;;10;2638;743;317;317;4;;416;1894;;;
3,91E+12;0ec41ac421d648d585bc4a9f75ce4af7;3,91E+11;Answered;20240207;IN;17:00-17:15;02/07/2024 17:17;Yes;bc053e3cb4eb4a178b8d8f5893c354b7;Italy - DeLonghi - EC;delonghi_dl;02/07/2024 17:14;17:00-17:30;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;02/07/2024 17:14;No;;10;181;173;;;5;;163;7;;;
3,91E+12;0ed18bba1a2b44eb939116c098fecee7;3,93E+11;Answered;20240305;IN;14:30-14:45;03/05/2024 14:43;Yes;4b5872c64be04b38a501e53d6c1f340c;Italy - DeLonghi - EC;delonghi_dl;03/05/2024 14:41;14:30-15:00;No;;No;;6436e443b87ce000a1beb74d;Federica xxxxxx;03/05/2024 14:41;No;;10;114;106;;;5;;96;7;;;
3,91E+12;0f20cf36b9ad4911be7575d3d7e92a61;3,93E+11;Answered;20240131;IN;13:45-14:00;1/31/2024 1:53:33 PM;Yes;963af4b63e2c4d0a817280983170d8fd;Italy - DeLonghi - EC;delonghi_dl;1/31/2024 1:47:51 PM;13:30-14:00;No;;No;;6436e43b49b1301c7f1222ca;Andrea xxxxxxxxx;1/31/2024 1:48:08 PM;No;;10;341;323;;;15;;313;17;;;
3,91E+12;0f7b8bc166cb405291d2644e13b6463f;3,93E+11;Answered;20240308;IN;13:30-13:45;03/08/2024 13:40;Yes;93454e5113364aa1ba4eb20bc176dfac;Italy - DeLonghi - EC;delonghi_dl;03/08/2024 13:34;13:30-14:00;No;;No;;6436e43f6cee473a5f29c458;Caterina xxxxx;03/08/2024 13:35;No;;10;345;328;165;165;14;;153;16;;;
